"0","plot_heatmap <- function(mat, titolo, legenda = ""r"") {"
"0","  "
"0","  mat_round <- round(mat, 2)"
"0","  "
"0","  df <- as.data.frame(as.table(mat_round))"
"0","  names(df) <- c(""Var1"", ""Var2"", ""Correlazione"")"
"0","  "
"0","  df$Var1 <- factor(df$Var1, levels = rownames(mat_round))"
"0","  df$Var2 <- factor(df$Var2, levels = rev(colnames(mat_round)))"
"0","  df$Label <- sprintf(""%.2f"", df$Correlazione)"
"0","  df$TextColor <- ifelse(abs(df$Correlazione) > 0.50, ""white"", ""black"")"
"0","  "
"0","  ggplot(df, aes(x = Var1, y = Var2, fill = Correlazione)) +"
"0","    geom_tile(color = ""white"", linewidth = 0.4) +"
"0","    geom_text(aes(label = Label, color = TextColor), size = 3) +"
"0","    scale_color_identity() +"
"0","    scale_fill_gradient2("
"0","      low = ""#756BB1"",     # viola: associazioni negative"
"0","      mid = ""grey95"",      # neutro"
"0","      high = ""#1B9E77"",    # verde: associazioni positive"
"0","      midpoint = 0,"
"0","      limits = c(-1, 1)"
"0","    ) +"
"0","    labs("
"0","      title = titolo,"
"0","      x = """","
"0","      y = """","
"0","      fill = legenda"
"0","    ) +"
"0","    theme_minimal(base_size = 11) +"
"0","    theme("
"0","      panel.grid = element_blank(),"
"0","      axis.text.x = element_text(angle = 45, hjust = 1),"
"0","      axis.text.y = element_text(size = 9),"
"0","      plot.title = element_text(face = ""bold"", hjust = 0.5, size = 12),"
"0","      legend.title = element_text(face = ""bold"")"
"0","    )"
"0","}"
