tool;source_format;tipo_blocco;macro_sezione;n
docling;markdown;ACQUISITI_PARERI;PARERI_ATTESTAZIONI;15
docling;markdown;ACQUISITO;ISTRUTTORIA;9
docling;markdown;ANALIZZATO;ISTRUTTORIA_VALUTAZIONE;1
docling;markdown;ATTESO;MOTIVAZIONE;17
docling;markdown;CONSIDERATO;MOTIVAZIONE;48
docling;markdown;DATO_ATTO;ISTRUTTORIA;48
docling;markdown;ESAMINATO;ISTRUTTORIA_VALUTAZIONE;2
docling;markdown;EVIDENZIATO;MOTIVAZIONE;4
docling;markdown;FORMULATO;ISTRUTTORIA;4
docling;markdown;INDIVIDUATO;ISTRUTTORIA;2
docling;markdown;PRECISATO;ISTRUTTORIA_MOTIVAZIONE;8
docling;markdown;PREDISPOSTO;ISTRUTTORIA;1
docling;markdown;PREMESSO;NARRATIVA_PREMESSA;32
docling;markdown;PRESO_ATTO;ISTRUTTORIA;20
docling;markdown;RAVVISATO;MOTIVAZIONE;2
docling;markdown;RICHIAMATO;PREAMBOLO_RIFERIMENTI;22
docling;markdown;RICONOSCIUTO;MOTIVAZIONE_VALUTAZIONE;6
docling;markdown;RICORDATO;PREAMBOLO_RIFERIMENTI;1
docling;markdown;RILEVATO;ISTRUTTORIA_MOTIVAZIONE;15
docling;markdown;RITENUTO;MOTIVAZIONE_VALUTAZIONE;50
docling;markdown;STABILITO;MOTIVAZIONE_VALUTAZIONE;1
docling;markdown;TENUTO_CONTO;ISTRUTTORIA_MOTIVAZIONE;4
docling;markdown;VALUTATO;MOTIVAZIONE_VALUTAZIONE;7
docling;markdown;VERIFICATO;ISTRUTTORIA;2
docling;markdown;VISTI_PARERI;PARERI_ATTESTAZIONI;13
docling;markdown;VISTO;PREAMBOLO_RIFERIMENTI;148
