"0",""
"0","summary(cognition_df$DepressionScore) ; sd(cognition_df$DepressionScore) "
"1","   Min. "
"1","1st Qu. "
"1"," Median "
"1","   Mean "
"1","3rd Qu. "
"1","   Max. "
"1","
"
"1","  0.000 "
"1","  1.000 "
"1","  3.000 "
"1","  5.202 "
"1","  7.000 "
"1"," 35.000 "
"1","
"
"1","[1]"
"1"," 6.000899"
"1","
"
"0","summary(cognition_df$AnxietyScore) ; sd(cognition_df$AnxietyScore) "
"1","   Min. "
"1","1st Qu. "
"1"," Median "
"1","   Mean "
"1","3rd Qu. "
"1","   Max. "
"1","
"
"1","  0.000 "
"1","  1.000 "
"1","  4.000 "
"1","  5.372 "
"1","  8.000 "
"1"," 26.000 "
"1","
"
"1","[1]"
"1"," 5.197327"
"1","
"
"0","summary(cognition_df$StressScore) ; sd(cognition_df$StressScore) "
"1","   Min. "
"1","1st Qu. "
"1"," Median "
"1","   Mean "
"1","3rd Qu. "
"1","   Max. "
"1","
"
"1","  0.000 "
"1","  3.000 "
"1","  8.000 "
"1","  9.466 "
"1"," 14.000 "
"1"," 37.000 "
"1","
"
"1","[1]"
"1"," 7.95198"
"1","
"
