id_atto;tool;source_format;source_file;order;page;label_raw;role_norm;text;bbox;procedural_stop_pos;proposal_stop_pos;stop_detected;marker_detected;is_noise
atto_1;opendataloader;json;atto_1.json;1;1;heading;heading;COMUNE DI AUSONIA;[193.11, 771.752, 451.782, 798.33];;;;;False
atto_1;opendataloader;json;atto_1.json;2;1;heading;heading;Provincia di Frosinone;[234.95, 751.054, 409.946, 770.988];;;;;False
atto_1;opendataloader;json;atto_1.json;3;1;heading;heading;COPIA DI DELIBERAZIONE DELLA GIUNTA COMUNALE;[130.507, 665.96, 514.387, 681.464];;;;;False
atto_1;opendataloader;json;atto_1.json;4;1;heading;heading;Verbale n. 44 del 18-06-2026;[219.726, 622.263, 425.176, 637.904];;;;;False
atto_1;opendataloader;json;atto_1.json;5;1;paragraph;text;OGGETTO: D. Lgs. 27.10.2009, n. 150. D. Lgs. 25.05.2017, n. 74. Approvazione relazione sulla;[92.15, 594.665, 552.736, 608.071];;;;;False
atto_1;opendataloader;json;atto_1.json;6;1;paragraph;text;performance anno 2025.;[163.05, 583.166, 278.1, 594.338];;;;;False
atto_1;opendataloader;json;atto_1.json;7;1;paragraph;text;L'anno duemilaventisei, il giorno diciotto del mese di giugno alle ore 12:20 e seg. in Ausonia e nella residenza municipale, nella sala delle adunanze, previa l'osservanza di tutte le formalità prescritte dalle vigenti leggi, sono stati oggi convocati in seduta i componenti della Giunta Comunale.;[92.15, 515.321, 552.746, 570.124];;;;;False
atto_1;opendataloader;json;atto_1.json;8;1;paragraph;text;Fatto normale appello nominale, risultano:;[162.95, 487.723, 386.414, 501.129];;;;;False
atto_1;opendataloader;json;atto_1.json;9;1;paragraph;text;CARDILLO Benedetto Sindaco PINCHERA Stefania Vice Sindaco STAGNO Gaetano Assessore;[95.65, 393.275, 359.57, 448.047];;;;;False
atto_1;opendataloader;json;atto_1.json;10;1;table;table;[table 5x2];[439.2, 366.124, 553.1, 476.224];;;;;True
atto_1;opendataloader;json;atto_1.json;11;1;paragraph;text;Totale;[408.157, 371.5, 435.947, 382.672];;;;;False
atto_1;opendataloader;json;atto_1.json;12;1;paragraph;text;Assiste il Segretario Comunale Erminio VERNILE, il quale provvede alla redazione del presente verbale. Essendo legale il numero degli intervenuti, il Dott. Benedetto CARDILLO - Sindaco, assume la Presidenza e dichiara aperta la seduta per la trattazione dell'oggetto sopra indicato.;[92.15, 285.63, 552.746, 340.433];;;;;False
atto_1;opendataloader;json;atto_1.json;13;1;paragraph;text;.;[92.15, 271.831, 95.486, 285.237];;;;;False
atto_1;opendataloader;json;atto_1.json;14;2;heading;heading;LA GIUNTA COMUNALE PREMESSO che:;[42.55, 751.053, 355.688, 798.755];;;;;False
atto_1;opendataloader;json;atto_1.json;15;2;list;list_item;;[60.55, 348.578, 503.156, 750.458];;;;;True
atto_1;opendataloader;json;atto_1.json;16;2;paragraph;text;VISTO:;[42.55, 316.38, 76.78, 331.884];;;;VISTO;False
atto_1;opendataloader;json;atto_1.json;17;2;list;list_item;;[60.55, 42.697, 503.158, 315.785];;;;;True
atto_1;opendataloader;json;atto_1.json;18;3;paragraph;text;"modificazioni dalla Legge 113/2021, contenente, tra l'altro, il piano triennale dei fabbisogni del personale 2025/2027, il relativo programma delle assunzioni e la Sottosezione 2.2 sulla Performance, contenente la programmazione degli obiettivi e degli indicatori di performance di efficienza e di efficacia i cui esiti dovranno essere rendicontati nella presente relazione;";[128.15, 702.756, 546.652, 798.755];;;;;False
atto_1;opendataloader;json;atto_1.json;19;3;paragraph;text;"- la Deliberazione consiliare n. 6 dell'11.04.2026, di approvazione del rendiconto dell'esercizio finanziario dell'anno 2025;";[110.15, 670.558, 546.648, 702.161];;;;;False
atto_1;opendataloader;json;atto_1.json;20;3;paragraph;text;"VISTA l'allegata relazione sulla performance anno 2025, parte integrante e sostanziale del presente provvedimento;";[92.15, 622.261, 552.75, 653.864];;;;VISTO;False
atto_1;opendataloader;json;atto_1.json;21;3;paragraph;text;CONSIDERATO che:;[92.15, 590.063, 186.622, 605.567];;;;CONSIDERATO;False
atto_1;opendataloader;json;atto_1.json;22;3;list;list_item;;[110.15, 300.281, 552.758, 589.468];;;;;True
atto_1;opendataloader;json;atto_1.json;23;3;paragraph;text;ATTESO che:;[92.15, 268.083, 155.528, 283.587];;;;ATTESO;False
atto_1;opendataloader;json;atto_1.json;24;3;list;list_item;;[110.15, 42.697, 552.758, 267.488];;;;;True
atto_1;opendataloader;json;atto_1.json;25;4;list;list_item;;[60.55, 734.954, 503.144, 798.755];;;;;True
atto_1;opendataloader;json;atto_1.json;26;4;paragraph;text;"RITENUTO, pertanto, di dover provvedere ad approvare, ai sensi dell'art. 10 del D. Lgs. n. 150/2009, l'allegata relazione sulla performance relativa all'anno 2025, parte integrante e sostanziale del presente provvedimento, e di trasmetterla, ai sensi dell'art. 14, comma 4, lettera c), e comma 6, del D. Lgs. 150/2009, al Nucleo di Valutazione per la relativa validazione, quale condizione inderogabile per l'accesso agli strumenti premiali di cui al Titolo III del decreto in oggetto, oltre che all' ANAC ai sensi dell'art. 10 del D. Lgs. 150/2009;";[42.55, 606.162, 503.15, 718.26];;;;RITENUTO;False
atto_1;opendataloader;json;atto_1.json;27;4;paragraph;text;"VISTI i pareri favorevoli di regolarità tecnica e contabile espressi, rispettivamente, dal responsabile del Settore amministrativo e dal Responsabile del servizio finanziario ai sensi dell'art. 49 del D. Lgs. 18.08.2000, n. 267;";[42.55, 541.766, 503.15, 589.468];;;;VISTI_PARERI;False
atto_1;opendataloader;json;atto_1.json;28;4;paragraph;text;"Con votazione unanime e favorevole resa in forma palese;";[42.55, 509.568, 368.316, 525.072];0.0;;;;False
atto_1;opendataloader;json;atto_1.json;29;4;heading;heading;DELIBERA;[236.284, 477.37, 309.406, 492.874];;;DELIBERA;DELIBERA;False
atto_1;opendataloader;json;atto_1.json;30;4;list;list_item;;[60.55, 139.291, 503.156, 460.676];;;;;True
atto_1;opendataloader;json;atto_1.json;31;4;paragraph;text;Con separata votazione, ad esito favorevole ed unanime, in considerazione della rivestita urgenza, la presente deliberazione viene resa immediatamente eseguibile ai sensi dell'art. 134, comma 4, del D. Lgs. n. 267/2000.;[42.55, 74.895, 503.15, 122.597];;;;;False
atto_1;opendataloader;json;atto_1.json;32;6;paragraph;text;LETTO, confermato e sottoscritto.;[42.55, 763.353, 182.62, 774.525];;;;LETTO;True
atto_1;opendataloader;json;atto_1.json;33;6;heading;heading;IL Sindaco IL Segretario Comunale f.to Dott. Benedetto CARDILLO;[85.52, 728.856, 446.817, 751.527];;;;;False
atto_1;opendataloader;json;atto_1.json;34;6;paragraph;text;f.to Dott. Erminio VERNILE ______________________________;[307.277, 705.858, 474.117, 740.028];;;;;False
atto_1;opendataloader;json;atto_1.json;35;6;paragraph;text;______________________________;[71.577, 705.858, 238.417, 717.03];;;;;False
atto_1;opendataloader;json;atto_1.json;36;6;paragraph;text;Il sottoscritto Segretario Comunale, VISTI gli atti di ufficio:;[77.95, 646.863, 325.27, 658.035];;;;;False
atto_1;opendataloader;json;atto_1.json;37;6;paragraph;text;ATTESTA Che la presente deliberazione:;[42.55, 600.867, 295.906, 635.037];;;;ATTESTA;False
atto_1;opendataloader;json;atto_1.json;38;6;paragraph;text; viene dichiarata immediatamente eseguibile (art. 134, 4° comma del D. Lvo 267/2000);[42.55, 566.37, 444.72, 577.542];;;;;False
atto_1;opendataloader;json;atto_1.json;39;6;paragraph;text; è divenuta esecutiva il 18-06-2026;[42.55, 543.372, 216.17, 554.544];;;;;False
atto_1;opendataloader;json;atto_1.json;40;6;paragraph;text; viene comunicata in elenco ai Capigruppo Consiliari (art. 125);[42.55, 508.875, 336.77, 520.047];;;;;False
atto_1;opendataloader;json;atto_1.json;41;6;paragraph;text;IL Segretario Comunale f.to Dott. Erminio VERNILE;[212.831, 474.378, 332.871, 497.049];;;;;False
atto_1;opendataloader;json;atto_1.json;42;6;paragraph;text;______________________________;[189.427, 451.38, 356.267, 462.552];;;;;False
