id_atto;tool;source_format;sequenza_blocchi
atto_1;opendataloader;json;VISTO > VISTO > CONSIDERATO > ATTESO > RITENUTO > VISTI_PARERI
atto_10;opendataloader;json;ATTESTA > VISTO > VISTO > VISTO > VISTO > VISTO > VISTO > VISTO > RILEVATO > VISTO > DATO_ATTO > RITENUTO > RITENUTO > ACQUISITI_PARERI
atto_11;opendataloader;json;PREMESSO > VISTO > CONSIDERATO > RITENUTO > RITENUTO > VISTI_PARERI > VISTO
atto_12;opendataloader;json;ATTESTA
atto_13;opendataloader;json;PREMESSO > CONSIDERATO > RITENUTO > VISTO
atto_14;opendataloader;json;ATTESTA
atto_15;opendataloader;json;PRESO_ATTO
atto_16;opendataloader;json;PREMESSO > PREMESSO > RITENUTO > RILEVATO > RILEVATO > RILEVATO > RILEVATO > CONSIDERATO > VISTO > DATO_ATTO > RICONOSCIUTO
atto_17;opendataloader;json;DATO_ATTO > DATO_ATTO > RICHIAMATO > VISTO > CONSIDERATO > VISTO > RITENUTO > ACQUISITO
atto_18;opendataloader;json;PREMESSO > DATO_ATTO > VISTO > DATO_ATTO > ATTESO > DATO_ATTO > VISTO > DATO_ATTO > RITENUTO > CONSIDERATO > ATTESO > RITENUTO > ACQUISITO
atto_19;opendataloader;json;PREMESSO > DATO_ATTO > VISTO > DATO_ATTO > ATTESO > DATO_ATTO > VISTO > RITENUTO > CONSIDERATO > DATO_ATTO > ATTESO > VISTO > DATO_ATTO
atto_2;opendataloader;json;CONSIDERATO > RAVVISATO > VISTO > VALUTATO
atto_20;opendataloader;json;PREMESSO > DATO_ATTO > VISTO > CONSIDERATO > ATTESO > DATO_ATTO > VISTO > RITENUTO > CONSIDERATO > DATO_ATTO > ATTESO
atto_21;opendataloader;json;RICONOSCIUTO > DATO_ATTO > VISTO > CONSIDERATO > DATO_ATTO > CONSIDERATO > VISTO > RILEVATO > RITENUTO > DATO_ATTO
atto_22;opendataloader;json;RICONOSCIUTO > PREMESSO > VISTO > VISTO > VISTO > DATO_ATTO > VISTI_PARERI
atto_23;opendataloader;json;RICONOSCIUTO > VISTO > PRESO_ATTO > RICHIAMATO > CONSIDERATO > RITENUTO > VISTI_PARERI
atto_24;opendataloader;json;VISTO > ATTESO > RILEVATO > DATO_ATTO > RITENUTO > DATO_ATTO > DATO_ATTO > CONSIDERATO > VISTO
atto_25;opendataloader;json;VISTO > DATO_ATTO > VISTO > DATO_ATTO > VISTO > RITENUTO > VISTO > PRESO_ATTO
atto_26;opendataloader;json;PREMESSO > DATO_ATTO > RICHIAMATO > RICHIAMATO > ATTESO > VISTO > RAVVISATO > CONSIDERATO > ACQUISITI_PARERI
atto_27;opendataloader;json;RITENUTO
atto_28;opendataloader;json;PREMESSO > RILEVATO > PRESO_ATTO > RICHIAMATO > RICHIAMATO > VISTO > VISTO > PRESO_ATTO > VISTO > VISTO > RITENUTO > VISTO
atto_29;opendataloader;json;VISTO > CONSIDERATO > TENUTO_CONTO > RICHIAMATO > DATO_ATTO > PRESO_ATTO > ACQUISITI_PARERI > VISTO
atto_3;opendataloader;json;ATTESTA > VISTO > VISTO > VISTO > VISTO > PREMESSO > DATO_ATTO > VISTO > VISTO > RICHIAMATO > RITENUTO
atto_30;opendataloader;json;VISTO > VISTO > VISTO > VISTO > RILEVATO > VISTO > RITENUTO > VISTO > TENUTO_CONTO > RITENUTO
atto_31;opendataloader;json;ACQUISITO > VISTO > VISTO > VISTO > VISTO > VISTO > PRESO_ATTO > CONSIDERATO > ANALIZZATO > PRESO_ATTO > CONSIDERATO > ESAMINATO > RITENUTO > PRESO_ATTO
atto_32;opendataloader;json;PREMESSO > CONSIDERATO > VISTO > DATO_ATTO > CONSIDERATO > TENUTO_CONTO > PRESO_ATTO > DATO_ATTO > CONSIDERATO > VISTO > RITENUTO > RITENUTO > RITENUTO > RITENUTO > RITENUTO > VALUTATO > VISTI_PARERI > VISTO
atto_33;opendataloader;json;VISTO > RILEVATO > RILEVATO > PRESO_ATTO > VISTO > DATO_ATTO > VISTO > VISTO > VISTO > CONSIDERATO > VISTO > VISTO > DATO_ATTO > VISTO > RITENUTO > VISTO > VISTO > CONSIDERATO > PRESO_ATTO > RITENUTO > RITENUTO > VISTO > RITENUTO > VALUTATO > VISTI_PARERI > VISTO
atto_34;opendataloader;json;PREMESSO > RITENUTO > VALUTATO > VISTI_PARERI > VISTO
atto_35;opendataloader;json;PREMESSO > ACQUISITI_PARERI > VISTO > VISTO > VISTO
atto_36;opendataloader;json;VISTO > VISTO > CONSIDERATO > CONSIDERATO > CONSIDERATO > CONSIDERATO > PRECISATO > PRECISATO > VISTO > VISTO > DATO_ATTO > TENUTO_CONTO > VISTO > ATTESO > VISTI_PARERI > VISTI_PARERI > VISTO
atto_37;opendataloader;json;RICHIAMATO > RICHIAMATO > VISTO > RICHIAMATO > CONSIDERATO > CONSIDERATO > RITENUTO > EVIDENZIATO > VISTI_PARERI > VISTI_PARERI > VISTO
atto_38;opendataloader;json;FORMULATO > RILEVATO > PRECISATO > PREDISPOSTO > VISTO
atto_39;opendataloader;json;FORMULATO > DATO_ATTO > EVIDENZIATO > CONSIDERATO > VISTO > CONSIDERATO > RITENUTO > ACQUISITO
