id_delibera;estrattore;format;reference_source;marker_precision;marker_recall;boundary_accuracy;text_fidelity;noise_exclusion;overall_score;issues;notes
ATTO_001;DOCLING;JSON;pdf_text_layer;100;100;100;100;100;100;;"Estrazione narrativa completa e fedele; nessun marcatore mancante o spuro; confini corretti; nessun rumore."
ATTO_001;DOCLING;MARKDOWN;pdf_text_layer;100;100;100;100;100;100;;"Estrazione narrativa completa e fedele; nessun marcatore mancante o spuro; confini corretti; nessun rumore."
ATTO_002;DOCLING;JSON;pdf_text_layer;78;78;95;90;100;88;"Etichetta VALUTATO_1/VALUTATO_2 non conforme allo standard (atteso VALUTATA) | Punteggiatura e spaziature alterate (es. spazio virgola prima della virgola in ""VALUTATA , altresì,"") | Mancata conservazione dei trattini iniziali e dei ritorni a capo dei punti elencati in PREMESSO | Alcune maiuscole non coerenti con il riferimento (es. ""TENUTO"" invece di ""tenuto"")";"Tutti i blocchi narrativi presenti nel riferimento sono stati individuati e i loro limiti rispettati; nessun rumore (certificati, firme, pubblicazione, dispositivo) è stato incluso. Le omissioni riguardano solo dettagli di formattazione e l'etichetta VALUTATA, mentre il contenuto sostanziale è preservato."
ATTO_002;DOCLING;MARKDOWN;pdf_text_layer;78;78;95;90;100;88;"Etichetta VALUTATO_1/VALUTATO_2 non conforme allo standard (atteso VALUTATA) | Punteggiatura e spaziature alterate (es. spazio virgola prima della virgola in ""VALUTATA , altresì,"") | Mancata conservazione dei trattini iniziali e dei ritorni a capo dei punti elencati in PREMESSO | Alcune maiuscole non coerenti con il riferimento (es. ""TENUTO"" invece di ""tenuto"")";Identico al candidato JSON: tutti i blocchi narrativi sono presenti con corretti confini, nessun rumore incluso. Le discrepanze riguardano esclusivamente la forma (etichette VALUTATO, punteggiatura, spaziature e maiuscole) mentre il contenuto sostanziale è completo.
ATTO_003;DOCLING;JSON;pdf_text_layer;50;7;10;20;20;21;Mancano i marker PREMESSO, DATO atto, VISTA (3 occorrenze), VISTO (2 occorrenze), CHE (4 occorrenze), RICHIAMATA, RITENUTO. | Blocco spurio DISPOSITIVO_ATTESTA incluso (rumore non escluso). | Confine del blocco dispositivo erroneamente incluso invece di essere escluso. | Omessa la maggior parte della narrativa precedente al dispositivo. | Ordine dei blocchi estratti non rappresenta la sequenza narrativa completa.;L'estratto contiene correttamente il marker ACQUISITI_PARERI_1 con testo fedele, ma resta fortemente incompleto e include rumore.
ATTO_003;DOCLING;MARKDOWN;pdf_text_layer;50;7;10;20;20;21;Mancano i marker PREMESSO, DATO atto, VISTA (3 occorrenze), VISTO (2 occorrenze), CHE (4 occorrenze), RICHIAMATA, RITENUTO. | Blocco spurio DISPOSITIVO_ATTESTA incluso (rumore non escluso). | Confine del blocco dispositivo erroneamente incluso invece di essere escluso. | Omessa la maggior parte della narrativa precedente al dispositivo. | Ordine dei blocchi estratti non rappresenta la sequenza narrativa completa.;L'estratto contiene correttamente il marker ACQUISITI_PARERI_1 con testo fedele, ma resta fortemente incompleto e include rumore.
ATTO_004;DOCLING;JSON;pdf_text_layer;86;100;85;80;75;85;Marker label error: ACQUISITO_1 should be ACQUISITI | Spurious device block DISPOSITIVO_DELIBERA present | Boundary error in ACQUISITI_PARERI block: includes extra text 'Missione 2 -Componente 4 Sub-investimento 2.1b PIANO NAZIONALE DI RIPRESA E RESILIENZA (PNRR) Il Sindaco espone l'argomento:' | Boundary error in VISTO_5 block: includes header text and Repertorio line that belong after the block | Textual hallucination: repeated header 'PIANO NAZIONALE DI RIPRESA E RESILIENZA (PNRR)' inside blocks | Noise inclusion: device block and header texts not excluded;All narrative markers are present but suffer from label inaccuracies, boundary overruns, and noise inclusion.
ATTO_004;DOCLING;MARKDOWN;pdf_text_layer;86;100;85;90;80;88;Marker label error: ACQUISITO_1 should be ACQUISITI | Spurious device block DISPOSITIVO_DELIBERA present | Boundary error in ACQUISITI_PARERI block: includes header 'PIANO NAZIONALE DI RIPRESA E RESILIENZA (PNRR)' and the phrase 'Il Sindaco espone l'argomento:' which should follow the block | Boundary error in VISTO_5 block: includes header text and Repertorio line that belong after the block | Textual hallucination: repeated header 'PIANO NAZIONALE DI RIPRESA E RESILIENZA (PNRR)' inside blocks | Noise inclusion: device block and header texts;All narrative markers are captured with fewer textual intrusions than the JSON version, improving fidelity and noise exclusion.
ATTO_005;DOCLING;JSON;pdf_text_layer;94;100;80;60;0;67;Missing substantive content: the two opinion bullet points after 'ACQUISITI i pareri...' are omitted. | Missing letter enumerations (a) b) ...) and line breaks in the long description of art. 11, comma 6 (RICHIAMATO_2). | Voting phrase 'A voti unanimi e palesi' incorrectly attached to VISTO_8 block, altering boundary. | Device marker 'DELIBERA' incorrectly included as DISPOSITIVO_DELIBERA, which should be excluded per noise_exclusion.;"All canonical markers are present and correctly labeled; the narrative semantic content is largely preserved except for the noted omissions and boundary issues."
ATTO_005;DOCLING;MARKDOWN;pdf_text_layer;94;100;80;60;0;67;Missing substantive content: the two opinion bullet points after 'ACQUISITI i pareri...' are omitted. | Missing letter enumerations (a) b) ...) and line breaks in the long description of art. 11, comma 6 (RICHIAMATO_2). | Voting phrase 'A voti unanimi e palesi' incorrectly attached to VISTO_8 block, altering boundary. | Device marker 'DELIBERA' incorrectly included as DISPOSITIVO_DELIBERA, which should be excluded per noise_exclusion.;"All canonical markers are present and correctly labeled; the narrative semantic content is largely preserved except for the noted omissions and boundary issues."
ATTO_006;DOCLING;JSON;pdf_text_layer;100;100;80;95;95;94;"Missing narrative line after ACQUISITI_PARERI: 'Con voti favorevoli unanimi resi nei modi e forme di legge;' | Boundary stopped before completing narrative (omitted voting line) | Minor formatting differences: uppercase 'PREDISPOSTO', extra spaces";All expected narrative markers (PREMESSO, VISTO×2, CONSIDERATO, RITENUTO, ACQUISITI_PARERI) are present and correctly labeled. The device marker DISPOSITIVO_DELIBERA appears but no device content is included.
ATTO_006;DOCLING;MARKDOWN;pdf_text_layer;100;100;80;95;100;95;"Missing narrative line after ACQUISITI_PARERI: 'Con voti favorevoli unanimi resi nei modi e forme di legge;' | Boundary stopped before completing narrative (omitted voting line) | Minor formatting differences: uppercase 'PREDISPOSTO', extra spaces";All expected narrative markers are present and correctly labeled. The device label is present but empty, thus no device content is included.
ATTO_007;DOCLING;JSON;pdf_text_layer;72;100;80;100;72;85;Includes device blocks (PROPONE..., VISTO_5..., RITENUTO_3..., VISTI_PARERI_1..., DELIBERA) as noise | Boundary does not stop before dispositivo (includes device blocks);All narrative markers (PREMESSO, VISTO, RICHIAMATO, RITENUTO, DATO_ATTO, CONSIDERATO, RILEVATO) correctly extracted with correct labels and text.
ATTO_007;DOCLING;MARKDOWN;pdf_text_layer;72;100;80;100;72;85;Includes device blocks (PROPONE..., VISTO_5..., RITENUTO_3..., VISTI_PARERI_1..., DELIBERA) as noise | Boundary does not stop before dispositivo (includes device blocks);All narrative markers (PREMESSO, VISTO, RICHIAMATO, RITENUTO, DATO_ATTO, CONSIDERATO, RILEVATO) correctly extracted with correct labels and text.
ATTO_008;DOCLING;JSON;pdf_text_layer;100;100;100;92;100;98;"Uso di trattini '-' al posto dei punti elenco originali | Spazi eccessivi prima di alcuni punti e virgole (es. '2027 ;', '€ 30.000,00 ,') | Mancanza dell'accento grafico in 'l'Avviso' e 'l'Amministrazione' | Maiuscola in 'RICHIAMATO' invece di 'richiamato'";"Tutti i marcatori narrativi sono presenti e corretti; i confini sono identificati correttamente prima del dispositivo. Le divergenze riguardano solo aspetti di formattazione e punteggiatura, senza omissioni o allucinazioni."
ATTO_008;DOCLING;MARKDOWN;pdf_text_layer;100;100;100;85;100;97;Assenza di qualsiasi separatore visivo tra gli elementi degli elenchi (i trattini presenti nel JSON sono scomparsi) | Stesse problematiche di punteggiatura e accenti riscontrate nel JSON | La corsa insieme delle frasi rende meno evidente la struttura a punti elenco;I marcatori narrativi sono tutti presenti e corretti, i confini sono corretti. La fedeltà del testo risente soprattutto della perdita della struttura di elenco, che rende la rappresentazione meno fedele rispetto al riferimento originale, sebbene non vi siano omissioni di contenuto.
ATTO_009;DOCLING;JSON;pdf_text_layer;100;100;100;88;100;98;Missing substantive content in ACQUISITI_PARERI block: the two opinion statements (points 1 and 2) are omitted.;"All markers correctly identified and ordered; only omission is the two opinion items under ACQUISITI_PARERI."
ATTO_009;DOCLING;MARKDOWN;pdf_text_layer;100;100;100;88;100;98;Missing substantive content in ACQUISITI_PARERI block: the two opinion statements (points 1 and 2) are omitted.;"All markers correctly identified and ordered; only omission is the two opinion items under ACQUISITI_PARERI."
ATTO_010;DOCLING;JSON;pdf_text_layer;50;8;20;10;20;22;Missing narrative markers VISTA, VISTO, RILEVATO, RITENUTO, DATO atto, second ACQUISITI_PARERI | Incorrect label DISPOSITIVO_ATTESTA included (noise) | Boundary cuts off large portions of narrative | Text omissions and lack of ordering;"Only first ACQUISITI_PARERI captured; rest of preamble missing; noise not filtered."
ATTO_010;DOCLING;MARKDOWN;pdf_text_layer;50;8;20;10;20;22;Missing narrative markers VISTA, VISTO, RILEVATO, RITENUTO, DATO atto, second ACQUISITI_PARERI | Incorrect label DISPOSITIVO_ATTESTA included (noise) | Boundary cuts off large portions of narrative | Text omissions and lack of ordering;"Same as JSON extraction; markdown representation does not improve."
ATTO_011;DOCLING;JSON;pdf_text_layer;100;100;100;90;100;93;"Omessa intestazione 'LA GIUNTA COMUNALE' | Omessi spazi bianchi e righe vuote tra le sezioni (es. dopo 'RITENUTO_1' e prima di 'RITENUTO_2') | Unita la frase 'VISTO il D. Lgs. n. 267/2000;' e 'All'unanimità dei voti resi in forma palese;' senza interruzione di riga";"Estrazione dei marcatori corretta e completa; piccole perdite di formattazione non influiscono sui marcatori."
ATTO_011;DOCLING;MARKDOWN;pdf_text_layer;100;100;100;90;100;93;"Omessa intestazione 'LA GIUNTA COMUNALE' | Omessi spazi bianchi e righe vuote tra le sezioni (es. dopo 'RITENUTO_1' e prima di 'RITENUTO_2') | Unita la frase 'VISTO il D. Lgs. n. 267/2000;' e 'All'unanimità dei voti resi in forma palese;' senza interruzione di riga";"Estrazione dei marcatori corretta e completa; piccole perdite di formattazione non influiscono sui marcatori."
ATTO_012;DOCLING;JSON;pdf_text_layer;0;0;0;0;0;0;Spurious PREMESSO, CONSIDERATO, RITENUTO, VISTO, DISPOSITIVO_PROPOSTA, VISTO_2, ACQUISITI_PARERI_1 markers present while reference contains no narrative markers. | Extracted content includes dispositivo and proposal text which should be excluded per guidelines. | Boundary detection fails as there is no narrative block in reference.;"Reference PDF text appears to lack the narrative section (PREMESSO/VISTO/RITENUTO etc.) possibly due to OCR loss; therefore any extracted narrative is considered noise."
ATTO_012;DOCLING;MARKDOWN;pdf_text_layer;0;0;0;0;0;0;"Same as JSON: spurious markers, includes dispositivo, boundaries wrong. | Markdown representation duplicates same content; no improvement.";"Identical content to JSON; reference lacks narrative."
ATTO_013;DOCLING;JSON;pdf_text_layer;100;100;0;100;0;60;Included device content (SI PROPONE DI DELIBERARE and following points) as separate block, violating boundary_accuracy and noise_exclusion. | Included post-device markers (VISTA la proposta..., ACQUISITI i pareri..., RITENUTO di approvare..., DELIBERA) as noise.;Narrative markers (PREMESSO, CONSIDERATO, RITENUTO, VISTO) are correctly labeled and textually faithful to the reference.
ATTO_013;DOCLING;MARKDOWN;pdf_text_layer;100;100;0;100;0;60;Included device content (SI PROPONE DI DELIBERARE and following points) as separate block, violating boundary_accuracy and noise_exclusion. | Included post-device markers (VISTA la proposta..., ACQUISITI i pareri..., RITENUTO di approvare..., DELIBERA) as noise.;Narrative markers (PREMESSO, CONSIDERATO, RITENUTO, VISTO) are correctly labeled and textually faithful to the reference.
ATTO_014;DOCLING;JSON;pdf_text_layer;0;0;20;10;30;20;"Markers VISTO, RICHIAMATO, ATTESO, CONSIDERATO, ACQUISITI_PARERI are not present in the reference narrative; they are hallucinations. | The extract includes the DISPOSITIVO_DELIBERA marker, which belongs to the device section and should be excluded from the narrative evaluation. | Important narrative parts from the reference (opening meeting description, attendance table, declaration of quorum, etc.) are missing. | The order of extracted items does not follow any discernible structure present in the source text. | No certificates, signatures, or publication texts were incorrectly included, but the inclusion of the device marker constitutes noise.";"Both JSON and Markdown candidates are identical extracts; they fail to capture any of the actual preamble content and instead insert fabricated legal references."
ATTO_014;DOCLING;MARKDOWN;pdf_text_layer;0;0;20;10;30;20;"Markers VISTO, RICHIAMATO, ATTESO, CONSIDERATO, ACQUISITI_PARERI are not present in the reference narrative; they are hallucinations. | The extract includes the DISPOSITIVO_DELIBERA marker, which belongs to the device section and should be excluded from the narrative evaluation. | Important narrative parts from the reference (opening meeting description, attendance table, declaration of quorum, etc.) are missing. | The order of extracted items does not follow any discernible structure present in the source text. | No certificates, signatures, or publication texts were incorrectly included, but the inclusion of the device marker constitutes noise.";"Both JSON and Markdown candidates are identical extracts; they fail to capture any of the actual preamble content and instead insert fabricated legal references."
ATTO_015;DOCLING;JSON;pdf_text_layer;90;100;100;65;70;85;Marker labels use underscores instead of spaces (e.g., PRESO_ATTO_1 vs PRESO ATto) | Text fidelity issues: missing letter enumerations (h), i), j)..., missing punctuation, merged sentences (m)/n) line) | Noise not excluded: DISPOSITIVO_DELIBERA block present (device) should be omitted per instructions;"All expected narrative markers present and boundaries correct; only minor formatting divergences and inclusion of dispositivo block."
ATTO_015;DOCLING;MARKDOWN;pdf_text_layer;90;100;100;65;70;85;Marker labels use underscores instead of spaces (e.g., PRESO_ATTO_1 vs PRESO ATto) | Text fidelity issues: missing letter enumerations (h), i), j)..., missing punctuation, merged sentences (m)/n) line) | Noise not excluded: DISPOSITIVO_DELIBERA block present (device) should be omitted per instructions;"All expected narrative markers present and boundaries correct; only minor formatting divergences and inclusion of dispositivo block."
ATTO_016;DOCLING;JSON;pdf_text_layer;92;100;100;100;100;98;"Etichetta DISPOSITIVO_DELIBERA presente, non parte dei marcatori narrativi PREMESSO/VISTO/RITENUTO ecc.; influisce sulla precisione.";"Tutti i blocchi narrativi presenti nel riferimento sono stati estratti con correta etichettatura, ordine e fedeltà testuale. Nessuna omissione o allucinazione rilevata; il contenuto del dispositivo è stato correttamente escluso."
ATTO_016;DOCLING;MARKDOWN;pdf_text_layer;92;100;100;100;100;98;"Etichetta DISPOSITIVO_DELIBERA presente, non parte dei marcatori narrativi PREMESSO/VISTO/RITENUTO ecc.; influisce sulla precisione.";"Identico al candidato JSON: tutti i marcatori narrativi sono corretti, completi e fedeli al testo di riferimento. Nessuna omissione o allucinazione; il dispositivo è escluso."
ATTO_017;DOCLING;JSON;pdf_text_layer;83;77;92;30;0;56;Label ACQUISITO_1 does not match marker ACQUISITI | Label DISPOSITIVO_PROPOSTA_1 adds non‑canonical prefix | Block VISTO_4 merges VISTO and RIUNITO text, causing missing RIUNITO marker | Device line DELIBERA included as noise | All blocks prefixed with index and label (e.g., '[1] DATO_ATTO_1:') introducing extraneous text;"Marker labels are mostly correct; only ACQUISITO and DISPOSITIVO_PROPOSTA are wrong. Boundary detection fails for the merged VISTO/RIUNITO block. Text contains hallucinated prefixes and omitted separation. Device not excluded."
ATTO_017;DOCLING;MARKDOWN;pdf_text_layer;83;77;92;30;0;56;Label ACQUISITO_1 does not match marker ACQUISITI | Label DISPOSITIVO_PROPOSTA_1 adds non‑canonical prefix | Block VISTO_4 merges VISTO and RIUNITO text, causing missing RIUNITO marker | Device line DELIBERA included as noise | All blocks prefixed with index and label (e.g., '[1] DATO_ATTO_1:') introducing extraneous text;"Identical to JSON extraction; same issues apply."
ATTO_018;DOCLING;JSON;pdf_text_layer;88.9;92.3;40;95;72.2;78;"Marker label ACQUISITO_1 used instead of canonical ACQUISITI | Included dispositivo markers (DISPOSITIVO_PROPOSTA_1, VISTO_3, VISTO_4, VISTO_5, DISPOSITIVO_DELIBERA) which should be excluded from narrative evaluation | Boundary not stopped before dispositivo; narrative continues into votazione/proposta section";Textual content of narrative blocks is faithfully reproduced with correct ordering and no omissions or hallucinations.
ATTO_018;DOCLING;MARKDOWN;pdf_text_layer;88.9;92.3;40;95;72.2;78;"Marker label ACQUISITO_1 used instead of canonical ACQUISITI | Included dispositivo markers (DISPOSITIVO_PROPOSTA_1, VISTO_3, VISTO_4, VISTO_5, DISPOSITIVO_DELIBERA) which should be excluded from narrative evaluation | Boundary not stopped before dispositivo; narrative continues into votazione/proposta section";Textual content of narrative blocks is faithfully reproduced with correct ordering and no omissions or hallucinations.
