;precision;recall;f1-score;support
AccordoSindacale;1.0;0.9375;0.967741935483871;16.0
Decreto;0.8333333333333334;0.9375;0.8823529411764706;16.0
DeliberaConsiglio;1.0;1.0;1.0;16.0
DeliberaGiunta;1.0;0.9375;0.967741935483871;16.0
Determina;1.0;0.875;0.9333333333333333;16.0
Ordinanza;0.8888888888888888;1.0;0.9411764705882353;16.0
Regolamento;1.0;0.9375;0.967741935483871;16.0
Statuto;0.9411764705882353;1.0;0.9696969696969697;16.0
accuracy;0.953125;0.953125;0.953125;0.953125
macro avg;0.9579248366013071;0.953125;0.9537231901558277;128.0
weighted avg;0.9579248366013071;0.953125;0.9537231901558277;128.0
