"0","options(scipen = 999) #evito la notazione esponenziale "
"0",""
"0","y <- SleepStudy$CognitionZscore"
"0","summary(y) "
"1","       Min. "
"1","    1st Qu. "
"1","     Median "
"1","       Mean "
"1","    3rd Qu. "
"1","       Max. "
"1","
"
"1","-1.62000000 "
"1","-0.48000000 "
"1","-0.01000000 "
"1","-0.00003953 "
"1"," 0.44000000 "
"1"," 1.96000000 "
"1","
"
"0","range(y) # si può evitare na.rm = TRUE in quanto non vi sono missing values"
"1","[1]"
"1"," -1.62"
"1","  1.96"
"1","
"
"0","mean(y)"
"1","[1]"
"1"," -0.00003952569"
"1","
"
"0","sd(y)"
"1","[1]"
"1"," 0.7068281"
"1","
"
