id_atto;tool;source_format;sequenza_blocchi
atto_1;opendataloader;markdown;VISTO > VISTO > CONSIDERATO > ATTESO > RITENUTO > VISTI_PARERI > DISPOSITIVO_DELIBERA
atto_10;opendataloader;markdown;DISPOSITIVO_ATTESTA
atto_11;opendataloader;markdown;PREMESSO > VISTO > CONSIDERATO > RITENUTO > RITENUTO > VISTI_PARERI > VISTO > DISPOSITIVO_DELIBERA
atto_12;opendataloader;markdown;PREMESSO > CONSIDERATO > RITENUTO > VISTO > VISTO > DISPOSITIVO_DELIBERA
atto_13;opendataloader;markdown;PREMESSO > CONSIDERATO > RITENUTO > VISTO > DISPOSITIVO_PROPOSTA > DISPOSITIVO_DELIBERA
atto_14;opendataloader;markdown;VISTO > RICHIAMATO > VISTO > ATTESO > ACQUISITO > CONSIDERATO > CONSIDERATO > VISTO > VISTO > VISTO > ACQUISITI_PARERI > DISPOSITIVO_DELIBERA
atto_15;opendataloader;markdown;PRESO_ATTO > DISPOSITIVO_DELIBERA
atto_16;opendataloader;markdown;PREMESSO > PREMESSO > RITENUTO > RILEVATO > RILEVATO > RILEVATO > RILEVATO > CONSIDERATO > VISTO > DATO_ATTO > RICONOSCIUTO > DISPOSITIVO_DELIBERA
atto_17;opendataloader;markdown;DATO_ATTO > DATO_ATTO > RICHIAMATO > VISTO > CONSIDERATO > VISTO > RITENUTO > ACQUISITO > DISPOSITIVO_PROPOSTA > DISPOSITIVO_DELIBERA
atto_18;opendataloader;markdown;PREMESSO > DATO_ATTO > VISTO > DATO_ATTO > ATTESO > DATO_ATTO > VISTO > DATO_ATTO > RITENUTO > CONSIDERATO > ATTESO > RITENUTO > ACQUISITO > DISPOSITIVO_PROPOSTA > DISPOSITIVO_DELIBERA
atto_19;opendataloader;markdown;PREMESSO > DATO_ATTO > VISTO > DATO_ATTO > ATTESO > DATO_ATTO > VISTO > RITENUTO > CONSIDERATO > DATO_ATTO > ATTESO > DISPOSITIVO_PROPOSTA > VISTO > DATO_ATTO > UDITO > DISPOSITIVO_DELIBERA
atto_2;opendataloader;markdown;CONSIDERATO > RAVVISATO > VISTO > VALUTATO > DISPOSITIVO_DELIBERA
atto_20;opendataloader;markdown;PREMESSO > DATO_ATTO > VISTO > CONSIDERATO > ATTESO > DATO_ATTO > VISTO > RITENUTO > CONSIDERATO > DATO_ATTO > ATTESO > DISPOSITIVO_PROPOSTA > DATO_ATTO > UDITO > DISPOSITIVO_DELIBERA
atto_21;opendataloader;markdown;RICONOSCIUTO > UDITO > DATO_ATTO > VISTO > CONSIDERATO > DATO_ATTO > CONSIDERATO > VISTO > RILEVATO > RITENUTO > DATO_ATTO > DISPOSITIVO_DELIBERA
atto_22;opendataloader;markdown;RICONOSCIUTO > PREMESSO > VISTO > VISTO > VISTO > DATO_ATTO > VISTI_PARERI > DISPOSITIVO_DELIBERA
atto_23;opendataloader;markdown;RICONOSCIUTO > UDITO > VISTO > PRESO_ATTO > RICHIAMATO > CONSIDERATO > RITENUTO > VISTI_PARERI > DISPOSITIVO_DELIBERA
atto_24;opendataloader;markdown;VISTO > ATTESO > RILEVATO > DATO_ATTO > RITENUTO > DATO_ATTO > DATO_ATTO > CONSIDERATO > VISTO > DISPOSITIVO_DELIBERA
atto_25;opendataloader;markdown;VISTO > DATO_ATTO > VISTO > RICHIAMATO > DATO_ATTO > CONSIDERATO > ATTESO > DATO_ATTO > VISTO > RITENUTO > VISTO > PRESO_ATTO > DISPOSITIVO_DELIBERA
atto_26;opendataloader;markdown;PREMESSO > DATO_ATTO > RICHIAMATO > RICHIAMATO > ATTESO > VISTO > RAVVISATO > CONSIDERATO > ACQUISITI_PARERI > DISPOSITIVO_DELIBERA
atto_27;opendataloader;markdown;RITENUTO > DISPOSITIVO_DELIBERA
atto_28;opendataloader;markdown;PREMESSO > RILEVATO > PRESO_ATTO > RICHIAMATO > RICHIAMATO > VISTO > VISTO > PRESO_ATTO > VISTO > VISTO > RITENUTO > VISTO > DISPOSITIVO_DELIBERA
atto_29;opendataloader;markdown;VISTO > CONSIDERATO > TENUTO_CONTO > RICHIAMATO > DATO_ATTO > PRESO_ATTO > ACQUISITI_PARERI > VISTO > DISPOSITIVO_DELIBERA
atto_3;opendataloader;markdown;DISPOSITIVO_ATTESTA
atto_30;opendataloader;markdown;PREMESSO > DATO_ATTO > RICHIAMATO > RICHIAMATO > VISTO > VISTO > VISTO > VISTO > VISTO > VISTI_PARERI > RILEVATO > DISPOSITIVO_PROPOSTA > VISTO > RITENUTO > DISPOSITIVO_DELIBERA
atto_31;opendataloader;markdown;ACQUISITO > VISTO > VISTO > VISTO > VISTO > VISTO > PRESO_ATTO > CONSIDERATO > ANALIZZATO > DISPOSITIVO_PROPOSTA > PRESO_ATTO > CONSIDERATO > ESAMINATO > DISPOSITIVO_PROPOSTA > RITENUTO > PRESO_ATTO > DISPOSITIVO_DELIBERA
atto_32;opendataloader;markdown;PREMESSO > CONSIDERATO > VISTO > DATO_ATTO > CONSIDERATO > TENUTO_CONTO > PRESO_ATTO > DATO_ATTO > CONSIDERATO > VISTO > RITENUTO > RITENUTO > RITENUTO > RITENUTO > RITENUTO > VALUTATO > VISTI_PARERI > VISTO > DISPOSITIVO_DELIBERA
atto_33;opendataloader;markdown;VISTO > VISTO > VISTO > VISTO > RILEVATO > RILEVATO > PRESO_ATTO > VISTO > DATO_ATTO > VISTO > VISTO > VISTO > VISTO > VISTO > VISTO > CONSIDERATO > VISTO > VISTO > DATO_ATTO > VISTO > RITENUTO > VISTO > VISTO > CONSIDERATO > PRESO_ATTO > RITENUTO > RITENUTO > VISTO > RITENUTO > VALUTATO > VISTI_PARERI > VISTO > DISPOSITIVO_DELIBERA
