tool;source_format;tipo_blocco;macro_sezione;n
docling;json;ACQUISITI_PARERI;PARERI_ATTESTAZIONI;15
docling;json;ACQUISITO;ISTRUTTORIA;9
docling;json;ANALIZZATO;ISTRUTTORIA_VALUTAZIONE;1
docling;json;ATTESO;MOTIVAZIONE;17
docling;json;CONSIDERATO;MOTIVAZIONE;48
docling;json;DATO_ATTO;ISTRUTTORIA;48
docling;json;ESAMINATO;ISTRUTTORIA_VALUTAZIONE;2
docling;json;EVIDENZIATO;MOTIVAZIONE;4
docling;json;FORMULATO;ISTRUTTORIA;4
docling;json;INDIVIDUATO;ISTRUTTORIA;2
docling;json;PRECISATO;ISTRUTTORIA_MOTIVAZIONE;8
docling;json;PREDISPOSTO;ISTRUTTORIA;1
docling;json;PREMESSO;NARRATIVA_PREMESSA;32
docling;json;PRESO_ATTO;ISTRUTTORIA;20
docling;json;RAVVISATO;MOTIVAZIONE;2
docling;json;RICHIAMATO;PREAMBOLO_RIFERIMENTI;22
docling;json;RICONOSCIUTO;MOTIVAZIONE_VALUTAZIONE;6
docling;json;RICORDATO;PREAMBOLO_RIFERIMENTI;1
docling;json;RILEVATO;ISTRUTTORIA_MOTIVAZIONE;15
docling;json;RITENUTO;MOTIVAZIONE_VALUTAZIONE;50
docling;json;STABILITO;MOTIVAZIONE_VALUTAZIONE;1
docling;json;TENUTO_CONTO;ISTRUTTORIA_MOTIVAZIONE;4
docling;json;VALUTATO;MOTIVAZIONE_VALUTAZIONE;7
docling;json;VERIFICATO;ISTRUTTORIA;2
docling;json;VISTI_PARERI;PARERI_ATTESTAZIONI;13
docling;json;VISTO;PREAMBOLO_RIFERIMENTI;148
