tool;source_format;marker_detected;n
opendataloader;json;ACQUISITI_PARERI;10
opendataloader;json;ACQUISITO;9
opendataloader;json;ANALIZZATO;1
opendataloader;json;ATTESO;19
opendataloader;json;ATTESTA;26
opendataloader;json;ATTESTATO;4
opendataloader;json;CONSIDERATO;46
opendataloader;json;DATO_ATTO;49
opendataloader;json;DELIBERA;55
opendataloader;json;ESAMINATO;2
opendataloader;json;EVIDENZIATO;4
opendataloader;json;FORMULATO;4
opendataloader;json;INDIVIDUATO;2
opendataloader;json;LETTO;31
opendataloader;json;PRECISATO;6
opendataloader;json;PREDISPOSTO;1
opendataloader;json;PREMESSO;23
opendataloader;json;PRESO_ATTO;22
opendataloader;json;PROPONE_DELIBERARE;1
opendataloader;json;RAVVISATO;2
opendataloader;json;RICHIAMATO;22
opendataloader;json;RICONOSCIUTO;6
opendataloader;json;RICORDATO;1
opendataloader;json;RILEVATO;15
opendataloader;json;RITENUTO;51
opendataloader;json;TENUTO_CONTO;4
opendataloader;json;UDITO;6
opendataloader;json;VALUTATO;5
opendataloader;json;VERIFICATO;2
opendataloader;json;VISTI_PARERI;13
opendataloader;json;VISTO;128
