id_atto;tool;source_format;source_file;order;page;label_raw;role_norm;text;bbox;procedural_stop_pos;stop_detected;marker_detected;is_noise
atto_1;docling;json;atto_1.json;1;1;section_header;heading;COMUNE DI AUSONIA;"{""l"": 193.11000061, ""t"": 792.8310255840624, ""r"": 457.78200061, ""b"": 773.0913892204261, ""coord_origin"": ""BOTTOMLEFT""}";;;;False
atto_1;docling;json;atto_1.json;2;1;section_header;heading;Provincia di Frosinone;"{""l"": 234.95000457999998, ""t"": 766.8640247540625, ""r"": 414.44600457999996, ""b"": 752.0592974813352, ""coord_origin"": ""BOTTOMLEFT""}";;;;False
atto_1;docling;json;atto_1.json;3;1;section_header;heading;COPIA DI DELIBERAZIONE DELLA GIUNTA COMUNALE;"{""l"": 130.50699996999998, ""t"": 678.2560247040625, ""r"": 517.8869999700001, ""b"": 666.7412368252745, ""coord_origin"": ""BOTTOMLEFT""}";;;;False
atto_1;docling;json;atto_1.json;4;1;section_header;heading;Verbale n. 44 del 18-06-2026;"{""l"": 219.72599793, ""t"": 635.2540186140625, ""r"": 429.0679979299998, ""b"": 622.8818550781509, ""coord_origin"": ""BOTTOMLEFT""}";;;;False
atto_1;docling;json;atto_1.json;5;1;text;text;OGGETTO: D. Lgs. 27.10.2009, n. 150. D. Lgs. 25.05.2017, n. 74. Approvazione relazione sulla performance anno 2025.;"{""l"": 92.15000153, ""t"": 605.8000240140625, ""r"": 555.5160015299997, ""b"": 583.6077630655542, ""coord_origin"": ""BOTTOMLEFT""}";;;;False
atto_1;docling;json;atto_1.json;6;1;text;text;L'anno duemilaventisei, il giorno diciotto del mese di giugno alle ore 12:20 e seg. in Ausonia e nella residenza municipale, nella sala delle adunanze, previa l'osservanza di tutte le formalità prescritte dalle vigenti leggi, sono stati oggi convocati in seduta i componenti della Giunta Comunale.;"{""l"": 92.15000153, ""t"": 567.8530330540625, ""r"": 556.0820015300003, ""b"": 515.8513211418525, ""coord_origin"": ""BOTTOMLEFT""}";;;;False
atto_1;docling;json;atto_1.json;7;1;text;text;Fatto normale appello nominale, risultano:;"{""l"": 162.95000153, ""t"": 498.85802267406245, ""r"": 389.7500015300001, ""b"": 488.2533110718525, ""coord_origin"": ""BOTTOMLEFT""}";;;;False
atto_1;docling;json;atto_1.json;8;1;table;table;[table];"{""l"": 94.24138641357422, ""t"": 476.7091369628906, ""r"": 552.83642578125, ""b"": 366.5215759277344, ""coord_origin"": ""BOTTOMLEFT""}";;;;True
atto_1;docling;json;atto_1.json;9;1;text;text;Assiste il Segretario Comunale Erminio VERNILE, il quale provvede alla redazione del presente verbale. Essendo legale il numero degli intervenuti, il Dott. Benedetto CARDILLO - Sindaco, assume la Presidenza e dichiara aperta la seduta per la trattazione dell'oggetto sopra indicato.;"{""l"": 92.15000153, ""t"": 338.1620387840625, ""r"": 556.0820015300005, ""b"": 286.1603268718525, ""coord_origin"": ""BOTTOMLEFT""}";;;;False
atto_1;docling;json;atto_1.json;10;1;text;text;.;"{""l"": 92.15000153, ""t"": 282.9660549040625, ""r"": 95.48600153, ""b"": 272.36134330185257, ""coord_origin"": ""BOTTOMLEFT""}";;;;False
atto_1;docling;json;atto_1.json;11;2;section_header;heading;PREMESSO che:;"{""l"": 42.54999924, ""t"": 763.3490232140625, ""r"": 126.52199923999999, ""b"": 751.8342353352746, ""coord_origin"": ""BOTTOMLEFT""}";;;PREMESSO;False
atto_1;docling;json;atto_1.json;12;2;list_item;list_item;"-le Amministrazioni Pubbliche devono adottare, in base a quanto disposto dagli artt. 3 e segg. del D. Lgs. n. 150/2009 e del D. Lgs. n. 74/2017, metodi e strumenti idonei a misurare, valutare e premiare la performance individuale e quella organizzativa, secondo criteri strettamente connessi al soddisfacimento dell'interesse del destinatario dei servizi pubblici;";"{""l"": 60.54999924, ""t"": 747.2500241840625, ""r"": 506.65599924, ""b"": 671.3392335352745, ""coord_origin"": ""BOTTOMLEFT""}";;;;False
atto_1;docling;json;atto_1.json;13;2;list_item;list_item;"-la Relazione sulla Performance prevista dall'art. 10, comma 1, lettera b), del D. Lgs. n. 150/2009, costituisce lo strumento mediante il quale l'Amministrazione illustra ai cittadini e a tutti gli altri ' stakeholders ' (portatori di interesse), i risultati ottenuti nel corso dell'anno precedente;";"{""l"": 60.54999924, ""t"": 666.7550176240625, ""r"": 506.64399886, ""b"": 606.9432298152745, ""coord_origin"": ""BOTTOMLEFT""}";;;;False
