id_documento;insieme;annotato;regione;comune;numero_delibera;data_delibera;nome_file;percorso_relativo;sha256;id_precedente;nome_precedente
GOLD_0001;GOLDEN;1;;;;;GOLD_0001.pdf;Delibere golden\GOLD_0001.pdf;c2b79a33f3a1e09dbc681bf63c809568d1fc663da7426fbfbc246df3e363b162;ATTO_051;atto_51.pdf
GOLD_0002;GOLDEN;1;;;;;GOLD_0002.pdf;Delibere golden\GOLD_0002.pdf;8fda968e7143f4b15b96998a1df2d5adf2d19befb9cf745f0425370f8b4a88e0;ATTO_052;atto_52.pdf
GOLD_0003;GOLDEN;1;;;;;GOLD_0003.pdf;Delibere golden\GOLD_0003.pdf;5731042cda5576bbcd48734c6454ae52df00066fc6a10669b53dd9cd6b1be5c8;ATTO_053;atto_53.pdf
GOLD_0004;GOLDEN;1;;;;;GOLD_0004.pdf;Delibere golden\GOLD_0004.pdf;a04d1ff70f2bf6728b183ed39d3d3e97e52b6f5049d7682f6400548500993ab2;ATTO_054;atto_54.pdf
GOLD_0005;GOLDEN;1;;;;;GOLD_0005.pdf;Delibere golden\GOLD_0005.pdf;34b0423e5d340965d7947f06b5c68ea26df414a2deef319c181944d61688e230;ATTO_055;atto_55.pdf
GOLD_0006;GOLDEN;1;;;;;GOLD_0006.pdf;Delibere golden\GOLD_0006.pdf;44c13aae13611fbaf6bd564159cd861ddb1478a7d2f8bed6c81314155aa07810;ATTO_056;atto_56.pdf
GOLD_0007;GOLDEN;1;;;;;GOLD_0007.pdf;Delibere golden\GOLD_0007.pdf;b64e466d91c6a76f6f065be647ad03dcbf7ce6b408c99abdf230423d63c07c71;ATTO_057;atto_57.pdf
GOLD_0008;GOLDEN;1;;;;;GOLD_0008.pdf;Delibere golden\GOLD_0008.pdf;c7c7d308cfad7acd754070174facaaf9eedbfad8813e9999a0db24f1a93d5351;ATTO_058;atto_58.pdf
GOLD_0009;GOLDEN;1;;;;;GOLD_0009.pdf;Delibere golden\GOLD_0009.pdf;75182d7d67ff490764726ffc0ad5452cc9a9473e8af51b9f1bdd49a3b14522da;ATTO_059;atto_59.pdf
GOLD_0010;GOLDEN;1;;;;;GOLD_0010.pdf;Delibere golden\GOLD_0010.pdf;56b16101d64849bdaeb21beed220c631040937a522a357f4cb6e7952059766db;ATTO_060;atto_60.pdf
GOLD_0011;GOLDEN;1;;;;;GOLD_0011.pdf;Delibere golden\GOLD_0011.pdf;8cb77d7d476b03353ee5444e67352de854bdf1fa41e2d2700fb3005db4799196;ATTO_061;atto_61.pdf
GOLD_0012;GOLDEN;1;;;;;GOLD_0012.pdf;Delibere golden\GOLD_0012.pdf;489b8b62f6a5aab475be1c55e5e88c49349fd48f585ceadbd4d31bb91c8f57d9;ATTO_062;atto_62.pdf
GOLD_0013;GOLDEN;1;;;;;GOLD_0013.pdf;Delibere golden\GOLD_0013.pdf;b7060adc0c5aeb5dc55f6ec75cd6f869c4a9f532b3f93ef60b77ca46ff0edb31;ATTO_063;ATTO_63.pdf
