tool;source_format;marker_detected;n
opendataloader;markdown;ACQUISITI_PARERI;9
opendataloader;markdown;ACQUISITO;8
opendataloader;markdown;ANALIZZATO;1
opendataloader;markdown;ATTESO;19
opendataloader;markdown;ATTESTA;28
opendataloader;markdown;ATTESTATO;4
opendataloader;markdown;CONSIDERATO;46
opendataloader;markdown;DATO_ATTO;51
opendataloader;markdown;DELIBERA;55
opendataloader;markdown;ESAMINATO;2
opendataloader;markdown;EVIDENZIATO;5
opendataloader;markdown;FORMULATO;4
opendataloader;markdown;INDIVIDUATO;3
opendataloader;markdown;LETTO;32
opendataloader;markdown;PRECISATO;7
opendataloader;markdown;PREDISPOSTO;1
opendataloader;markdown;PREMESSO;22
opendataloader;markdown;PRESO_ATTO;22
opendataloader;markdown;PROPONE_DELIBERARE;1
opendataloader;markdown;RAVVISATO;2
opendataloader;markdown;RICHIAMATO;20
opendataloader;markdown;RICONOSCIUTO;6
opendataloader;markdown;RICORDATO;1
opendataloader;markdown;RILEVATO;15
opendataloader;markdown;RITENUTO;52
opendataloader;markdown;TENUTO_CONTO;6
opendataloader;markdown;VALUTATO;5
opendataloader;markdown;VERIFICATO;2
opendataloader;markdown;VISTI_PARERI;12
opendataloader;markdown;VISTO;138
